date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
2016-01-01,53463.9,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2017-01-01,53550.9,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2018-01-01,52479.6,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2019-01-01,52377.5,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2020-01-01,50332.8,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2021-01-01,51454.1,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2022-01-01,50767.1,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
2023-01-01,54059.7,2024-12-20,2024-12-20,Alaska,AKRGSP,Real Gross Domestic Product: All Industry Total in Alaska,A,Mil. of Chn. 2017 $,NSA
1997-01-01,154700.0,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
1998-01-01,160396.4,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
1999-01-01,166531.8,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2000-01-01,168695.3,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2001-01-01,168448.3,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2002-01-01,172430.4,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2003-01-01,178040.0,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2004-01-01,189913.7,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2005-01-01,197246.5,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2006-01-01,199923.9,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2007-01-01,202025.5,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2008-01-01,200967.4,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2009-01-01,194192.1,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2010-01-01,199455.0,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2011-01-01,201372.8,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2012-01-01,203675.5,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2013-01-01,206962.9,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2014-01-01,206070.0,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2015-01-01,208950.3,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2016-01-01,212862.8,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2017-01-01,216615.5,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2018-01-01,220808.8,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2019-01-01,225272.8,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2020-01-01,222288.8,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2021-01-01,233726.6,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2022-01-01,238556.5,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
2023-01-01,245354.7,2024-12-20,2024-12-20,Alabama,ALRGSP,Real Gross Domestic Product: All Industry Total in Alabama,A,Mil. of Chn. 2017 $,NSA
1997-01-01,87180.3,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
1998-01-01,89905.3,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
1999-01-01,94756.9,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2000-01-01,95509.8,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2001-01-01,95528.7,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2002-01-01,98556.6,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2003-01-01,102948.0,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2004-01-01,108581.8,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2005-01-01,112451.1,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2006-01-01,114890.4,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2007-01-01,114026.7,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2008-01-01,113628.0,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2009-01-01,109833.1,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2010-01-01,113000.9,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2011-01-01,115241.8,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2012-01-01,116616.2,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2013-01-01,119842.8,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2014-01-01,121409.4,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2015-01-01,121532.5,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2016-01-01,123034.9,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2017-01-01,123882.6,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2018-01-01,126371.2,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2019-01-01,127220.0,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2020-01-01,128340.9,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2021-01-01,137463.6,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2022-01-01,139560.7,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
2023-01-01,142860.6,2024-12-20,2024-12-20,Arkansas,ARRGSP,Real Gross Domestic Product: All Industry Total in Arkansas,A,Mil. of Chn. 2017 $,NSA
1997-01-01,180293.9,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
1998-01-01,197492.1,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
1999-01-01,214293.9,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2000-01-01,224729.3,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2001-01-01,230885.6,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2002-01-01,238257.1,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2003-01-01,253743.1,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2004-01-01,264990.0,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2005-01-01,283806.2,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2006-01-01,296424.4,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2007-01-01,306611.6,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2008-01-01,302277.9,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2009-01-01,277412.4,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2010-01-01,282252.5,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2011-01-01,290411.3,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2012-01-01,297077.3,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2013-01-01,298859.9,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2014-01-01,301721.2,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2015-01-01,308582.8,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2016-01-01,319008.4,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2017-01-01,333099.0,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2018-01-01,346398.3,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2019-01-01,359576.7,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2020-01-01,365027.7,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2021-01-01,395035.9,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2022-01-01,410228.4,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
2023-01-01,422399.6,2024-12-20,2024-12-20,Arizona,AZRGSP,Real Gross Domestic Product: All Industry Total in Arizona,A,Mil. of Chn. 2017 $,NSA
1997-01-01,1441226.4,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
1998-01-01,1538612.3,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
1999-01-01,1655438.5,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2000-01-01,1784320.6,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2001-01-01,1784567.7,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2002-01-01,1821509.5,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2003-01-01,1895287.6,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2004-01-01,1956745.5,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2005-01-01,2042141.0,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2006-01-01,2120435.4,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2007-01-01,2168940.4,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2008-01-01,2192331.8,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2009-01-01,2110679.4,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2010-01-01,2153852.8,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2011-01-01,2192887.2,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2012-01-01,2255437.3,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2013-01-01,2340335.3,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2014-01-01,2428675.7,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2015-01-01,2545979.5,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2016-01-01,2623711.7,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2017-01-01,2740550.3,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2018-01-01,2850970.3,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2019-01-01,2969609.0,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2020-01-01,2933320.2,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2021-01-01,3154188.6,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2022-01-01,3184007.8,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
2023-01-01,3248656.6,2024-12-20,2024-12-20,California,CARGSP,Real Gross Domestic Product: All Industry Total in California,A,Mil. of Chn. 2017 $,NSA
1997-01-01,189445.6,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
1998-01-01,206449.1,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
1999-01-01,221040.8,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2000-01-01,238739.3,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2001-01-01,242650.1,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2002-01-01,243701.9,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2003-01-01,246017.4,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2004-01-01,250069.3,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2005-01-01,261992.9,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2006-01-01,268190.8,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2007-01-01,278733.8,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2008-01-01,281803.3,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2009-01-01,275659.1,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2010-01-01,279385.6,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2011-01-01,283963.8,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2012-01-01,289339.5,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2013-01-01,301484.1,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2014-01-01,315399.0,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2015-01-01,330526.1,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2016-01-01,337685.2,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2017-01-01,350209.1,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2018-01-01,365204.5,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2019-01-01,383725.6,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2020-01-01,380188.8,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2021-01-01,406451.9,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2022-01-01,418818.8,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
2023-01-01,437056.0,2024-12-20,2024-12-20,Colorado,CORGSP,Real Gross Domestic Product: All Industry Total in Colorado,A,Mil. of Chn. 2017 $,NSA
1997-01-01,205965.2,2024-12-20,2024-12-20,Connecticut,CTRGSP,Real Gross Domestic Product: All Industry Total in Connecticut,A,Mil. of Chn. 2017 $,NSA
1998-01-01,212255.0,2024-12-20,2024-12-20,Connecticut,CTRGSP,Real Gross Domestic Product: All Industry Total in Connecticut,A,Mil. of Chn. 2017 $,NSA
1999-01-01,218860.0,2024-12-20,2024-12-20,Connecticut,CTRGSP,Real Gross Domestic Product: All Industry Total in Connecticut,A,Mil. of Chn. 2017 $,NSA
2000-01-01,233874.2,2024-12-20,2024-12-20,Connecticut,CTRGSP,Real Gross Domestic Product: All Industry Total in Connecticut,A,Mil. of Chn. 2017 $,NSA
2001-01-01,236338.1,2024-12-20,2024-12-20,Connecticut,CTRGSP,Real Gross Domestic Product: All Industry Total in Connecticut,A,Mil. of Chn. 2017 $,NSA
2002-01-01,234307.3,2024-12-20,2024-12-20,Connecticut,CTRGSP,Real Gross Domestic Product: All Industry Total in Connecticut,A,Mil. of Chn. 2017 $,NSA
2003-01-01,236719.1,2024-12-20,2024-12-20,Connecticut,CTRGSP,Real Gross Domestic Product: All Industry Total in Connecticut,A,Mil. of Chn. 2017 $,NSA
